RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
77382,Quick Pasta Supper,67009,Hag chef,PT20M,PT15M,PT35M,2003-11-26T20:06:00Z,"This is my own recipe for a quick pasta meal. I love to use fusili, or rotini, but elbow or penne is good too. This is one of my favourite meals, real comfort food!","""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/77/38/2/pic7XLufl.jpg""",One Dish Meal,"c(""Penne"", ""Meat"", ""European"", ""Low Cholesterol"", ""Healthy"", ""Kid Friendly"", ""Potluck"", ""< 60 Mins"", ""Beginner Cook"", ""Stove Top"", ""Easy"", ""Inexpensive"")","c(""1"", ""1 1/2"", ""1"", ""1"", ""1"", ""2"", NA, ""1"", ""1"", ""1"", ""1"", ""1"")","c(""olive oil"", ""ground beef"", ""onion"", ""garlic clove"", ""green peppers"", ""mushrooms"", ""diced tomatoes"", ""dried parsley"", ""dried basil"", ""pasta"")",4,1,512.5,17.6,5.7,57.8,691.3,61.8,4.3,13.7,26.2,8,NA,"c(""Bring a large pot of water to boil, for the pasta."", ""Scramble fry the ground beef in olive oil, with garlic, salt and pepper."", ""Add the onions, peppers and mushrooms, and saute until onion is soft."", ""Add the spaghetti sauce, diced tomatoes, parlsey and basil."", ""Simmer for 20 minutes, or up to 1 hour."", ""Meanwhile, cook the pasta according to package directions."", ""Drain."", ""Return to large pot."", ""Stir the sauce into the pasta, or serve separately."", ""Serve with freshly grated parmesan, mozzarella or cheddar cheese, homemade biscuits and a green salad."", 
""Variation: For a beef stroganoff type of dish, use 2 cans of mushroom soup and 1 can of milk instead of the tomatoes and spaghetti sauce, and 1 package of egg noodles, instead of pasta."", ""Kids love this!"")"
77609,Asian Turkey Salad,52282,chia2160,NA,PT10M,PT10M,2003-12-01T20:00:00Z,Make and share this Asian Turkey Salad recipe from Food.com.,character(0),Poultry,"c(""Meat"", ""Kosher"", ""Thanksgiving"", ""< 15 Mins"", ""No Cook"", ""Easy"")","c(""2"", ""3"", ""1"", ""1/2"", ""1/2"", ""1/4"", ""1"", ""1/4"", ""1/4"", ""1"", ""2"", ""2"", ""1"", ""1"", ""1/2"", ""1/2"", ""1"", ""1"")","c(""cabbage"", ""red bell pepper"", ""red onion"", ""basil"", ""cilantro"", ""scallion"", ""rice vinegar"", ""vegetable broth"", ""soy sauce"", ""fresh lime juice"", ""salt"", ""sugar"", ""garlic clove"", ""serrano chili"")",5,2,319.1,14.8,3,79.8,740.1,11.5,3.5,5.2,36,4,NA,"c(""To make dressing put ingredients in a blender, process until smooth."", ""Put all salad ingredients in a large bowl, toss with dressing serve."")"
202463,A Different Type of Chicken Wing,167527,cervantesbrandi,PT15M,PT20M,PT35M,2006-12-30T15:50:00Z,These wings have a great flavor please do not let the ingredients scare you away from trying these great wings!,character(0),Chicken,"c(""Poultry"", ""Meat"", ""Asian"", ""< 60 Mins"", ""Beginner Cook"", ""Easy"", ""Inexpensive"")","c(""1"", ""1/2"", ""1/2"", ""12"", ""1"", ""1"", NA)","c(""white vinegar"", ""pepper"", ""garlic"", ""chicken wings"", ""flour"", ""seasoning salt"")",NA,NA,453.8,23.8,6.6,113.2,111.1,24.7,0.9,0.3,30.2,4,NA,"c(""Mix the vinegar, pepper, and garlic in a bowl and chicken wings."", ""Let the chicken wings sit for about 20 minutes but no longer than that as the vinegar doesn't take long to soak inches"", ""Mix the flour and season salt in a separate bowl."", ""After marinading the wings dip each in flour and place the wings in oil that has been heated to medium high."", ""Fry wings until they are a deep golden brown color."", ""I always serve these wings as an Asian appetizer along with hot mustard and teriyaki dipping sauces!"", 
""Enjoy!"")"
202464,Barefoot Contessa's Parmesan Roasted Asparagus,67103,Juenessa,PT20M,PT10M,PT30M,2006-12-30T15:51:00Z,"Adapted from Barefoot Contessa Family Style Cookbook, 2002.  Roasted asparagus is so yummy and is good with or without the cheese, so you decide!","c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/24/64/picG2sltD.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/24/64/picJtnIP8.jpg"")",Vegetable,"""< 30 Mins""","c(""2 1/2"", ""2"", ""1/2"", ""1/4"", ""1/2"", ""2"")","c(""fresh asparagus"", ""olive oil"", ""kosher salt"", ""sea salt"", ""lemon pepper"", ""asiago cheese"", ""romano cheese"", ""lemons"")",5,8,113.6,7.1,2.1,7.3,325.1,7.7,4,3.6,7.4,6,NA,"c(""Preheat oven to 400 degrees."", ""If the stalks of the asparagus are thick, peel the bottom half of each or break the bottom part off."", ""Combine all the ingredients, except the cheese, in a bowl."", ""After combining, arrange the asparagus on a parchment-lined baking sheet in a single layer."", ""Roast for 15 to 20 minutes, until tender."", ""Sprinkle with the cheese and return to the oven for another minute."", ""Serve with lemon wedges."", ""**Ina Garten prefers thick asparagus to  thin ones; as they have more flavor.""
)"
202465,Leek and Potato Tart,322548,PinkCherryBlossom,PT1H20M,PT20M,PT1H40M,2006-12-30T15:52:00Z,the crust in this can be varying the nuts you use or replacing them with 3 tbsp of fresh chopped herbs.,character(0),Savory Pies,"c(""Potato"", ""Cheese"", ""Vegetable"", ""< 4 Hours"")","c(""225"", ""1"", ""150"", ""50"", ""1"", ""450"", ""40"", ""450"", ""300"", ""3"", ""175"", ""1"", NA)","c(""plain flour"", ""salt"", ""butter"", ""walnuts"", ""leeks"", ""butter"", ""new potatoes"", ""sour cream"", ""eggs"", ""gruyere cheese"", ""nutmeg"", ""chives"")",NA,NA,806.2,52.9,28.8,246.3,380.2,62.8,4.8,4.2,22.3,6,NA,"c(""Heat oven to 200C/400F."", ""Sift flour and salt into a bowl. Rub butter in with fingers until the mix resembles breadcrumbs. Add nuts."", ""Mix egg yolk with a 3 tbsp water and add to bowl. Mix with hands to form a dough."", ""Knead dough for a few mins to bring it together then wrap in cling film and chill for 20 minutes."", ""Roll out pastry and use it to line a very deep flan tin or an 8 inch springform tin. Chill for another 30 minutes."", ""Melt the butter over a high heat and cook the leeks for 2 - 3 minutes Lower the heat and cook for a further 25 mins until very soft. Remove from heat."", 
""Cook the potatoes in boiling water until almost tender. Drain and slice."", ""Add the leeks to the potatoes followed by the soured cream, eggs, cheese, nutmeg and seasoning if desired. Stir well and pour into pastry case."", ""Bake for 20 mins on the middle shelf. After 20 mins reduce heat to 190C/375F and cook for a further 30 minutes The filling should be set."")"
202573,Lentil Rice Dish  (Mujadarah Arabic Dish),403144,Hommus,PT25M,PT10M,PT35M,2006-12-30T19:53:00Z,"This Lentils Rice recipe is known as Mujadarah in the Arab countries. There is many different recipes for Mujadarah, this  recipe is very easy to cook with little Ingredients, and besides being nutritious,it is inexpensive. This recipe is an excellent vegetarian dish. Mujadarah is can be served with finely chopped Tomatoes salad if desired. Se my recipe for Tomato Salad.","""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/25/73/picfdzjX6.jpg""",Long Grain Rice,"c(""Rice"", ""Lentil"", ""Beans"", ""Palestinian"", ""Southwest Asia (middle East)"", ""Asian"", ""Low Protein"", ""Vegan"", ""Low Cholesterol"", ""< 60 Mins"", ""Steam"", ""Beginner Cook"", ""Easy"", ""Inexpensive"")","c(""1"", ""1/3"", ""4"", NA, ""1/2"", ""1"", ""1/4"", ""2"")","c(""lentils"", ""basmati rice"", ""chicken broth"", ""vegetable broth"", ""salt"", ""black pepper"", ""cumin"", ""olive oil"", ""onions"")",5,9,266.4,14.3,2,0,13.4,29.3,5.8,4.2,6.6,NA,NA,"c(""Saute Onions with olive oil(stirring occasionally) until golden brown. Reserve 4 tablespoons of browned onions for garnish."", ""Place lentils,water,salt,and black pepper in different saucepan and cook over medium heat for about 20 minutes or until lentils are tender."", ""Add to lentils the uncooked rice,browned onions and cumin and mix. Cover and simmer for another 15 minutes or until water is absorbed and rice is tender."", ""Place Lentils Rice dish(mujadarah)in serving dish and garnish with 4 tablespoons of browned onions."", 
""Mujadarah is best when served with Tomato salad.  See my recipe for Tomato salad."")"
202468,Sweet Potato Cakes,322548,PinkCherryBlossom,PT50M,PT20M,PT1H10M,2006-12-30T15:55:00Z,Make and share this Sweet Potato Cakes recipe from Food.com.,character(0),Lunch/Snacks,"c(""Yam/Sweet Potato"", ""Potato"", ""Vegetable"", ""Kid Friendly"", ""< 4 Hours"", ""Easy"")","c(""700"", ""25"", ""1"", ""1"", ""1"", ""1"", ""50"", ""2"")","c(""sweet potatoes"", ""butter"", ""onion"", ""garlic clove"", ""nutmeg"", ""egg"")",5,1,284.1,13.1,4.5,59.9,148.4,38.3,5.7,8.6,4.5,4,NA,"c(""Cook the sweet potatoes in boiling salted water until tender. Drain and mash until smooth."", ""melt the butter in a sauce pan and cook the onion and garlic gently for 10 mins until soft."", ""Add the onions to the sweet potato along with the nutmeg and seasoning if desired. Mix well and leave to cool."", ""Place the egg in a shallow bowl and the polenta in another ."", ""When the potato is cook enough to handle divide into four and form into cake shapes."", ""Dip the cakes in the egg and then the polenta, once done refrigerate for 30 minutes."", 
""Heat the oil and cook the potato cakes for 4 - 5 mins each side."")"
202470,Garlicky Mushroom Pakoras,322548,PinkCherryBlossom,PT15M,PT20M,PT35M,2006-12-30T15:55:00Z,Make and share this Garlicky Mushroom Pakoras recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/24/70/picSAHjBd.jpg""",Lunch/Snacks,"c(""Vegetable"", ""Asian"", ""Indian"", ""Low Cholesterol"", ""Healthy"", ""Spicy"", ""< 60 Mins"")","c(""175"", ""1/2"", ""1/4"", ""1"", ""1"", ""200"", ""2"", ""1"", ""500"", NA)","c(""gram flour"", ""salt"", ""baking powder"", ""cumin seed"", ""chili powder"", ""water"", ""garlic cloves"", ""onion"", ""button mushrooms"")",4,2,134.5,2.3,0.2,0,240.1,20.6,4.2,4.9,8.7,6,NA,"c(""Place the gram flour, salt, baking powder, cumin and chilli in a bowl. Make a well in the centre and add the water, mixing well to for a smooth batter."", ""Add the garlic and onion to the batter and mix inches Leave the mixture to stand for ten mins while you wipe and trim your mushrooms."", ""mix the mushrooms into the batter and stir to coat."", ""Heat enough oil to cover the pakoras in a pan to about 180C (so a cube of bread browns in 30 seconds)."", ""Once the oil is hot fry a few pakoras at a time until golden brown. Drain and keep warm."", 
""Serve with salt and lemon juice."")"
202471,Chicken Casadillas,418508,thomasmoore24,PT10M,PT10M,PT20M,2006-12-30T15:55:00Z,Make and share this Chicken Casadillas recipe from Food.com.,character(0),Lunch/Snacks,"c(""Chicken Breast"", ""Chicken"", ""Poultry"", ""Cheese"", ""Meat"", ""Mexican"", ""< 30 Mins"", ""Beginner Cook"", ""Easy"")","c(""18"", ""6"", ""2"", ""1"")","c(""chicken"", ""tortillas"", ""mozzarella cheese"", ""canola oil"")",NA,NA,462.3,23.9,8.6,68.3,715.5,36.8,2.2,1.7,23.7,6,6 quesadillas,"c(""Cook chicken to your preference and tear into small pieces."", ""Place about 3 oz of chicken in with  about 1/3 cup of grated cheese onto one side of a tortilla."", ""Add canola oil to frying pan on medium heat."", ""Add one quesadilla and monitor to see if bottom is browned in some places, than flip over and repeat with all tortillas."")"
202472,Cyprus - Souvlakia - Pork Kebab,35918,GRECORICAN,PT45M,PT30M,PT1H15M,2006-12-30T15:56:00Z,"I will be posting some recipes from my home country, Cyprus, that I have collected from the web and want to safe keep.  I have not tried all of them, but intend to one day, and I hope you will too.",character(0),Pork,"c(""Meat"", ""European"", ""Very Low Carbs"", ""< 4 Hours"")","c(""1"", NA, ""4"", ""1"", ""5"", NA, NA)","c(""salt"", ""tomatoes"", ""onion"", ""fresh parsley"", ""lemon juice"")",NA,NA,647.4,47.5,16.4,182.5,127.4,7.7,2.1,4.4,45.1,NA,NA,"c(""Thread the meat cubes on to the skewers."", ""Make sure the barbecue has reached the right heat. Ideally for the best results kebab should be cooked over charcoal.  Place the skewers on the barbeque and liberally apply salt, turn the skewers over and salt the other side.  Turn the skewers from time to time to ensure that the meat cooks evenly on all sides."", ""Just before the souvlakia are cooked, warm some Pitta bread over the grill.  Remove the souvlakia from the grill and using a fork take the meat off the skewers and put it into a serving dish."", 
""Divide a pitta in two and in the pocket spoon in the meat, tomatoes, onion, parsley, salt and lemon juice."")"
